Star_name	Mass	Metallicity	Logg	Spectral_type	Distance	Temperature	Radius	vsini	spectral_index_01	spectral_index_02	spectral_index_03	spectral_index_04	spectral_index_05	spectral_index_06	
star_47	0.957           	0.000           	4.000           	0.096           	75.271          	5870.280        	0.957           	77.000          	5.062           	11.391          	6.250           	3.827           	16.453          	28.200
star_48	0.956           	0.500           	5.000           	0.096           	95.617          	5867.520        	0.956           	77.000          	8.072           	17.607          	16.148          	3.779           	25.679          	28.800
star_49	0.955           	0.000           	4.000           	0.095           	44.745          	5864.760        	0.955           	77.000          	5.062           	11.391          	6.250           	3.820           	16.453          	29.400
star_50	0.954           	0.000           	4.500           	0.095           	37.068          	5862.000        	0.954           	77.000          	6.200           	13.951          	9.882           	4.293           	20.151          	30.000
star_51	0.953           	1.000           	5.000           	0.095           	73.203          	5859.240        	0.953           	77.000          	8.547           	18.131          	16.674          	3.244           	26.678          	30.600
star_52	0.952           	1.000           	4.500           	0.095           	97.146          	5856.480        	0.952           	77.000          	7.152           	14.996          	10.932          	2.724           	22.149          	31.200
star_53	0.951           	0.000           	5.000           	0.095           	34.541          	5853.720        	0.951           	77.000          	7.594           	17.086          	15.625          	4.756           	24.680          	31.800
star_54	0.950           	0.000           	4.000           	0.095           	53.915          	5850.960        	0.950           	77.000          	5.062           	11.391          	6.250           	3.801           	16.453          	32.400
star_55	0.949           	0.500           	5.000           	0.095           	95.609          	5848.200        	0.949           	77.000          	8.068           	17.610          	16.152          	3.747           	25.679          	33.000
star_56	0.948           	0.500           	4.500           	0.095           	97.733          	5845.440        	0.948           	77.000          	6.675           	14.476          	10.409          	3.268           	21.150          	33.600
star_57	0.948           	0.000           	4.500           	0.095           	93.290          	5842.680        	0.948           	77.000          	6.200           	13.951          	9.882           	4.264           	20.151          	34.200
star_58	0.947           	1.000           	4.000           	0.095           	83.049          	5839.920        	0.947           	77.000          	6.009           	12.443          	7.306           	2.224           	18.452          	34.800
star_59	0.946           	0.500           	5.000           	0.095           	45.420          	5837.160        	0.946           	77.000          	8.067           	17.612          	16.154          	3.729           	25.679          	35.400
star_60	0.945           	0.000           	4.000           	0.094           	86.422          	5834.400        	0.945           	77.000          	5.062           	11.391          	6.250           	3.779           	16.453          	36.000
star_61	0.944           	0.500           	5.000           	0.094           	65.855          	5831.640        	0.944           	77.000          	8.066           	17.613          	16.155          	3.719           	25.679          	36.600
star_62	0.943           	0.000           	4.000           	0.094           	13.769          	5828.880        	0.943           	77.000          	5.062           	11.391          	6.250           	3.772           	16.453          	37.200
star_63	0.942           	1.000           	5.000           	0.094           	57.940          	5826.120        	0.942           	77.000          	8.536           	18.143          	16.687          	3.305           	26.679          	37.800
star_64	0.941           	1.000           	4.500           	0.094           	78.258          	5823.360        	0.941           	77.000          	7.141           	15.009          	10.945          	2.780           	22.150          	38.400
star_65	0.940           	0.500           	5.000           	0.094           	7.590           	5820.600        	0.940           	77.000          	8.064           	17.615          	16.157          	3.701           	25.679          	39.000
star_66	0.939           	0.500           	5.000           	0.094           	2.381           	5817.840        	0.939           	77.000          	8.063           	17.616          	16.157          	3.696           	25.679          	39.600
star_67	0.938           	1.000           	4.500           	0.094           	8.470           	5815.080        	0.938           	77.000          	7.139           	15.012          	10.948          	2.794           	22.150          	40.200
star_68	0.937           	1.000           	4.500           	0.094           	65.293          	5812.320        	0.937           	77.000          	7.138           	15.013          	10.949          	2.798           	22.151          	40.800
star_69	0.937           	1.000           	4.000           	0.094           	78.037          	5809.560        	0.937           	77.000          	5.999           	12.454          	7.318           	2.269           	18.453          	41.400
star_70	0.936           	0.000           	5.000           	0.094           	47.834          	5806.800        	0.936           	77.000          	7.594           	17.086          	15.625          	4.678           	24.680          	42.000
star_71	0.935           	0.500           	4.500           	0.093           	59.947          	5804.040        	0.935           	77.000          	6.668           	14.483          	10.417          	3.206           	21.151          	42.600
star_72	0.934           	0.000           	4.000           	0.093           	46.838          	5801.280        	0.934           	77.000          	5.062           	11.391          	6.250           	3.735           	16.453          	43.200
star_73	0.933           	0.500           	4.500           	0.093           	30.396          	5798.520        	0.933           	77.000          	6.667           	14.484          	10.418          	3.198           	21.151          	43.800
star_74	0.932           	0.000           	4.500           	0.093           	10.618          	5795.760        	0.932           	77.000          	6.200           	13.951          	9.882           	4.194           	20.151          	44.400
star_75	0.931           	1.000           	5.000           	0.093           	0.538           	5793.000        	0.931           	77.000          	8.525           	18.155          	16.699          	3.368           	26.680          	45.000
star_76	0.930           	1.000           	4.000           	0.093           	30.020          	5790.240        	0.930           	77.000          	5.993           	12.461          	7.325           	2.299           	18.454          	45.600
star_77	0.929           	0.000           	4.500           	0.093           	90.379          	5787.480        	0.929           	77.000          	6.200           	13.951          	9.882           	4.181           	20.151          	46.200
star_78	0.928           	0.500           	5.000           	0.093           	84.461          	5784.720        	0.928           	77.000          	8.058           	17.622          	16.164          	3.641           	25.680          	46.800
star_79	0.927           	0.500           	4.000           	0.093           	91.564          	5781.960        	0.927           	77.000          	5.526           	11.927          	6.789           	2.709           	17.454          	47.400
star_80	0.926           	0.500           	4.500           	0.093           	42.700          	5779.200        	0.926           	77.000          	6.663           	14.488          	10.422          	3.169           	21.151          	48.000
star_81	0.925           	0.000           	4.000           	0.093           	26.611          	5776.440        	0.925           	77.000          	5.062           	11.391          	6.250           	3.702           	16.453          	48.600
star_82	0.925           	0.000           	4.500           	0.092           	88.234          	5773.680        	0.925           	77.000          	6.200           	13.951          	9.882           	4.161           	20.151          	49.200
star_83	0.924           	0.000           	4.500           	0.092           	28.871          	5770.920        	0.924           	77.000          	6.200           	13.951          	9.882           	4.156           	20.151          	49.800
star_84	0.923           	0.000           	5.000           	0.092           	79.196          	5768.160        	0.923           	77.000          	7.594           	17.086          	15.625          	4.614           	24.680          	50.400
star_85	0.922           	0.500           	5.000           	0.092           	65.270          	5765.400        	0.922           	77.000          	8.055           	17.626          	16.167          	3.609           	25.681          	51.000
star_86	0.921           	1.000           	4.000           	0.092           	59.818          	5762.640        	0.921           	77.000          	5.983           	12.472          	7.336           	2.342           	18.455          	51.600
star_87	0.920           	1.000           	5.000           	0.092           	96.469          	5759.880        	0.920           	77.000          	8.514           	18.168          	16.712          	3.433           	26.682          	52.200
star_88	0.919           	0.500           	4.500           	0.092           	69.359          	5757.120        	0.919           	77.000          	6.660           	14.492          	10.426          	3.136           	21.152          	52.800
star_89	0.918           	0.000           	4.000           	0.092           	69.633          	5754.360        	0.918           	77.000          	5.062           	11.391          	6.250           	3.672           	16.453          	53.400
star_90	0.917           	0.000           	4.000           	0.092           	84.620          	5751.600        	0.917           	77.000          	5.062           	11.391          	6.250           	3.669           	16.453          	54.000
star_91	0.916           	0.000           	5.000           	0.092           	97.150          	5748.840        	0.916           	77.000          	7.594           	17.086          	15.625          	4.581           	24.680          	54.600
star_92	0.915           	0.500           	5.000           	0.092           	56.577          	5746.080        	0.915           	77.000          	8.051           	17.630          	16.171          	3.577           	25.681          	55.200
star_93	0.914           	0.500           	5.000           	0.091           	95.074          	5743.320        	0.914           	77.000          	8.051           	17.630          	16.172          	3.572           	25.681          	55.800
star_94	0.914           	0.500           	5.000           	0.091           	33.926          	5740.560        	0.914           	77.000          	8.051           	17.631          	16.172          	3.568           	25.681          	56.400
star_95	0.913           	0.500           	4.000           	0.091           	36.147          	5737.800        	0.913           	77.000          	5.519           	11.936          	6.798           	2.650           	17.455          	57.000
star_96	0.912           	0.000           	4.000           	0.091           	71.028          	5735.040        	0.912           	77.000          	5.062           	11.391          	6.250           	3.647           	16.453          	57.600
star_97	0.911           	0.000           	5.000           	0.091           	13.817          	5732.280        	0.911           	77.000          	7.594           	17.086          	15.625          	4.554           	24.680          	58.200
star_98	0.910           	1.000           	4.500           	0.091           	98.652          	5729.520        	0.910           	77.000          	7.110           	15.045          	10.981          	2.944           	22.155          	58.800
star_99	0.909           	0.500           	5.000           	0.091           	56.125          	5726.760        	0.909           	77.000          	8.048           	17.634          	16.175          	3.545           	25.682          	59.400
star_100	0.908           	1.000           	4.500           	0.091           	77.467          	5724.000        	0.908           	77.000          	7.108           	15.047          	10.983          	2.954           	22.155          	60.000
star_101	0.907           	0.500           	4.500           	0.091           	28.984          	5721.240        	0.907           	77.000          	6.654           	14.499          	10.433          	3.082           	21.153          	60.600
star_102	0.906           	1.000           	4.000           	0.091           	97.916          	5718.480        	0.906           	77.000          	5.969           	12.489          	7.354           	2.412           	18.458          	61.200
star_103	0.905           	1.000           	4.000           	0.091           	51.109          	5715.720        	0.905           	77.000          	5.968           	12.490          	7.355           	2.417           	18.458          	61.800
star_104	0.904           	0.000           	4.500           	0.090           	0.682           	5712.960        	0.904           	77.000          	6.200           	13.951          	9.882           	4.069           	20.151          	62.400
star_105	0.903           	1.000           	5.000           	0.090           	23.142          	5710.200        	0.903           	77.000          	8.497           	18.188          	16.732          	3.532           	26.685          	63.000
star_106	0.902           	1.000           	4.500           	0.090           	2.648           	5707.440        	0.902           	77.000          	7.103           	15.054          	10.990          	2.984           	22.157          	63.600
star_107	0.902           	0.000           	5.000           	0.090           	11.851          	5704.680        	0.902           	77.000          	7.594           	17.086          	15.625          	4.508           	24.680          	64.200
star_108	0.901           	0.500           	4.000           	0.090           	60.095          	5701.920        	0.901           	77.000          	5.513           	11.943          	6.805           	2.603           	17.456          	64.800
star_109	0.900           	0.000           	4.000           	0.090           	72.900          	5699.160        	0.900           	77.000          	5.062           	11.391          	6.250           	3.599           	16.453          	65.400
star_110	0.899           	0.000           	4.500           	0.090           	30.996          	5696.400        	0.899           	77.000          	6.200           	13.951          	9.882           	4.045           	20.151          	66.000
star_111	0.898           	1.000           	5.000           	0.090           	67.541          	5693.640        	0.898           	77.000          	8.492           	18.195          	16.739          	3.566           	26.686          	66.600
star_112	0.897           	0.500           	4.500           	0.090           	70.272          	5690.880        	0.897           	77.000          	6.649           	14.506          	10.440          	3.036           	21.154          	67.200
star_113	0.896           	0.000           	5.000           	0.090           	39.431          	5688.120        	0.896           	77.000          	7.594           	17.086          	15.625          	4.480           	24.680          	67.800
star_114	0.895           	0.500           	5.000           	0.090           	76.060          	5685.360        	0.895           	77.000          	8.041           	17.642          	16.184          	3.476           	25.683          	68.400
star_115	0.894           	1.000           	4.000           	0.089           	8.851           	5682.600        	0.894           	77.000          	5.957           	12.504          	7.368           	2.471           	18.461          	69.000
star_116	0.893           	1.000           	5.000           	0.089           	20.739          	5679.840        	0.893           	77.000          	8.487           	18.200          	16.744          	3.595           	26.687          	69.600
star_117	0.892           	1.000           	4.500           	0.089           	29.847          	5677.080        	0.892           	77.000          	7.093           	15.066          	11.003          	3.041           	22.159          	70.200
star_118	0.891           	1.000           	4.500           	0.089           	36.921          	5674.320        	0.891           	77.000          	7.092           	15.067          	11.004          	3.046           	22.159          	70.800
star_119	0.891           	0.000           	4.500           	0.089           	39.265          	5671.560        	0.891           	77.000          	6.200           	13.951          	9.882           	4.007           	20.151          	71.400
star_120	0.890           	1.000           	4.500           	0.089           	1.052           	5668.800        	0.890           	77.000          	7.090           	15.070          	11.006          	3.056           	22.160          	72.000
star_121	0.889           	1.000           	4.500           	0.089           	92.822          	5666.040        	0.889           	77.000          	7.089           	15.071          	11.007          	3.061           	22.160          	72.600
star_122	0.888           	0.500           	4.500           	0.089           	81.298          	5663.280        	0.888           	77.000          	6.644           	14.511          	10.445          	2.995           	21.155          	73.200
star_123	0.887           	0.000           	4.500           	0.089           	41.789          	5660.520        	0.887           	77.000          	6.200           	13.951          	9.882           	3.991           	20.151          	73.800
star_124	0.886           	0.000           	4.500           	0.089           	85.835          	5657.760        	0.886           	77.000          	6.200           	13.951          	9.882           	3.987           	20.151          	74.400
star_125	0.885           	0.000           	5.000           	0.088           	21.931          	5655.000        	0.885           	77.000          	7.594           	17.086          	15.625          	4.425           	24.680          	75.000
star_126	0.884           	1.000           	5.000           	0.088           	19.009          	5652.240        	0.884           	77.000          	8.478           	18.212          	16.756          	3.653           	26.690          	75.600
star_127	0.883           	1.000           	5.000           	0.088           	94.249          	5649.480        	0.883           	77.000          	8.477           	18.213          	16.757          	3.659           	26.690          	76.200
star_128	0.882           	1.000           	4.000           	0.088           	66.903          	5646.720        	0.882           	77.000          	5.945           	12.519          	7.383           	2.532           	18.464          	76.800
star_129	0.881           	0.000           	4.000           	0.088           	25.642          	5643.960        	0.881           	77.000          	5.062           	11.391          	6.250           	3.525           	16.453          	77.400
star_130	0.880           	0.000           	4.500           	0.088           	94.400          	5641.200        	0.880           	77.000          	6.200           	13.951          	9.882           	3.962           	20.151          	78.000
star_131	0.879           	1.000           	4.000           	0.088           	45.180          	5638.440        	0.879           	77.000          	5.942           	12.523          	7.387           	2.546           	18.464          	78.600
star_132	0.879           	0.500           	5.000           	0.088           	27.251          	5635.680        	0.879           	77.000          	8.033           	17.652          	16.194          	3.393           	25.686          	79.200
star_133	0.878           	0.000           	5.000           	0.088           	89.058          	5632.920        	0.878           	77.000          	7.594           	17.086          	15.625          	4.388           	24.680          	79.800
star_134	0.877           	0.000           	5.000           	0.088           	77.440          	5630.160        	0.877           	77.000          	7.594           	17.086          	15.625          	4.384           	24.680          	80.400
star_135	0.876           	0.000           	5.000           	0.088           	16.878          	5627.400        	0.876           	77.000          	7.594           	17.086          	15.625          	4.379           	24.680          	81.000
star_136	0.875           	0.500           	4.500           	0.087           	63.623          	5624.640        	0.875           	77.000          	6.638           	14.520          	10.454          	2.937           	21.157          	81.600
star_137	0.874           	0.000           	4.500           	0.087           	79.053          	5621.880        	0.874           	77.000          	6.200           	13.951          	9.882           	3.933           	20.151          	82.200
star_138	0.873           	0.500           	4.000           	0.087           	69.771          	5619.120        	0.873           	77.000          	5.499           	11.961          	6.823           	2.492           	17.460          	82.800
star_139	0.872           	0.500           	4.500           	0.087           	46.033          	5616.360        	0.872           	77.000          	6.636           	14.521          	10.455          	2.925           	21.158          	83.400
star_140	0.871           	0.500           	4.000           	0.087           	42.877          	5613.600        	0.871           	77.000          	5.498           	11.962          	6.824           	2.485           	17.460          	84.000
star_141	0.870           	1.000           	5.000           	0.087           	50.031          	5610.840        	0.870           	77.000          	8.464           	18.230          	16.774          	3.743           	26.694          	84.600
star_142	0.869           	0.000           	4.000           	0.087           	51.265          	5608.080        	0.869           	77.000          	5.062           	11.391          	6.250           	3.477           	16.453          	85.200
star_143	0.868           	0.000           	4.500           	0.087           	9.100           	5605.320        	0.868           	77.000          	6.200           	13.951          	9.882           	3.908           	20.151          	85.800
star_144	0.868           	1.000           	4.500           	0.087           	55.464          	5602.560        	0.868           	77.000          	7.068           	15.098          	11.035          	3.185           	22.166          	86.400
star_145	0.867           	0.000           	4.000           	0.087           	3.739           	5599.800        	0.867           	77.000          	5.062           	11.391          	6.250           	3.466           	16.453          	87.000
star_146	0.866           	0.500           	5.000           	0.087           	61.893          	5597.040        	0.866           	77.000          	8.027           	17.661          	16.203          	3.328           	25.687          	87.600
star_147	0.865           	1.000           	4.000           	0.086           	65.809          	5594.280        	0.865           	77.000          	5.927           	12.542          	7.406           	2.623           	18.469          	88.200
star_148	0.864           	0.500           	4.500           	0.086           	64.612          	5591.520        	0.864           	77.000          	6.632           	14.527          	10.461          	2.887           	21.159          	88.800
star_149	0.863           	0.500           	4.000           	0.086           	36.148          	5588.760        	0.863           	77.000          	5.494           	11.967          	6.829           	2.452           	17.461          	89.400
star_150	0.862           	0.000           	4.000           	0.086           	36.209          	5586.000        	0.862           	77.000          	5.062           	11.391          	6.250           	3.448           	16.453          	90.000
star_151	0.861           	1.000           	5.000           	0.086           	39.777          	5583.240        	0.861           	77.000          	8.455           	18.242          	16.786          	3.804           	26.697          	90.600
star_152	0.860           	0.000           	5.000           	0.086           	85.947          	5580.480        	0.860           	77.000          	7.594           	17.086          	15.625          	4.301           	24.680          	91.200
star_153	0.859           	0.000           	4.000           	0.086           	39.706          	5577.720        	0.859           	77.000          	5.062           	11.391          	6.250           	3.437           	16.453          	91.800
star_154	0.858           	1.000           	5.000           	0.086           	90.549          	5574.960        	0.858           	77.000          	8.452           	18.246          	16.790          	3.823           	26.698          	92.400
star_155	0.857           	0.500           	5.000           	0.086           	53.451          	5572.200        	0.857           	77.000          	8.022           	17.666          	16.208          	3.287           	25.689          	93.000
star_156	0.856           	0.000           	5.000           	0.086           	35.441          	5569.440        	0.856           	77.000          	7.594           	17.086          	15.625          	4.282           	24.680          	93.600
star_157	0.856           	0.000           	4.000           	0.086           	87.285          	5566.680        	0.856           	77.000          	5.062           	11.391          	6.250           	3.422           	16.453          	94.200
star_158	0.855           	0.000           	4.000           	0.085           	10.543          	5563.920        	0.855           	77.000          	5.062           	11.391          	6.250           	3.419           	16.453          	94.800
star_159	0.854           	1.000           	5.000           	0.085           	1.102           	5561.160        	0.854           	77.000          	8.447           	18.252          	16.796          	3.854           	26.699          	95.400
star_160	0.853           	0.000           	4.500           	0.085           	50.080          	5558.400        	0.853           	77.000          	6.200           	13.951          	9.882           	3.838           	20.151          	96.000
star_161	0.852           	0.000           	5.000           	0.085           	69.895          	5555.640        	0.852           	77.000          	7.594           	17.086          	15.625          	4.259           	24.680          	96.600
star_162	0.851           	1.000           	5.000           	0.085           	59.931          	5552.880        	0.851           	77.000          	8.445           	18.256          	16.800          	3.873           	26.700          	97.200
star_163	0.850           	0.500           	4.500           	0.085           	26.782          	5550.120        	0.850           	77.000          	6.625           	14.536          	10.470          	2.825           	21.161          	97.800
star_164	0.849           	0.000           	4.500           	0.085           	23.053          	5547.360        	0.849           	77.000          	6.200           	13.951          	9.882           	3.821           	20.151          	98.400
star_165	0.848           	0.500           	5.000           	0.085           	66.353          	5544.600        	0.848           	77.000          	8.018           	17.673          	16.214          	3.241           	25.691          	99.000
star_166	0.847           	0.500           	5.000           	0.085           	8.271           	5541.840        	0.847           	77.000          	8.017           	17.673          	16.215          	3.236           	25.691          	99.600
star_167	0.846           	1.000           	5.000           	0.085           	57.084          	5539.080        	0.846           	77.000          	8.440           	18.262          	16.807          	3.905           	26.702          	100.200
star_168	0.845           	1.000           	4.000           	0.085           	72.100          	5536.320        	0.845           	77.000          	5.908           	12.568          	7.433           	2.729           	18.476          	100.800
star_169	0.845           	0.500           	4.500           	0.084           	92.161          	5533.560        	0.845           	77.000          	6.623           	14.540          	10.474          	2.800           	21.162          	101.400
star_170	0.844           	0.500           	5.000           	0.084           	14.095          	5530.800        	0.844           	77.000          	8.016           	17.676          	16.218          	3.218           	25.691          	102.000
star_171	0.843           	0.000           	5.000           	0.084           	29.679          	5528.040        	0.843           	77.000          	7.594           	17.086          	15.625          	4.213           	24.680          	102.600
star_172	0.842           	1.000           	5.000           	0.084           	99.497          	5525.280        	0.842           	77.000          	8.436           	18.268          	16.813          	3.937           	26.704          	103.200
star_173	0.841           	1.000           	4.000           	0.084           	34.652          	5522.520        	0.841           	77.000          	5.903           	12.574          	7.439           	2.755           	18.478          	103.800
star_174	0.840           	0.000           	4.000           	0.084           	21.146          	5519.760        	0.840           	77.000          	5.062           	11.391          	6.250           	3.360           	16.453          	104.400
star_175	0.839           	1.000           	4.500           	0.084           	5.497           	5517.000        	0.839           	77.000          	7.039           	15.137          	11.074          	3.361           	22.176          	105.000
star_176	0.838           	1.000           	5.000           	0.084           	48.920          	5514.240        	0.838           	77.000          	8.432           	18.273          	16.818          	3.963           	26.705          	105.600
star_177	0.837           	0.500           	5.000           	0.084           	56.255          	5511.480        	0.837           	77.000          	8.012           	17.680          	16.222          	3.186           	25.693          	106.200
star_178	0.836           	0.000           	4.500           	0.084           	58.680          	5508.720        	0.836           	77.000          	6.200           	13.951          	9.882           	3.763           	20.151          	106.800
star_179	0.835           	1.000           	4.000           	0.084           	16.376          	5505.960        	0.835           	77.000          	5.898           	12.582          	7.447           	2.786           	18.480          	107.400
star_180	0.834           	0.500           	4.500           	0.083           	31.142          	5503.200        	0.834           	77.000          	6.617           	14.547          	10.481          	2.755           	21.164          	108.000
star_181	0.833           	1.000           	5.000           	0.083           	24.282          	5500.440        	0.833           	77.000          	8.427           	18.280          	16.825          	3.996           	26.707          	108.600
star_182	0.833           	0.500           	5.000           	0.083           	13.709          	5497.680        	0.833           	77.000          	8.010           	17.684          	16.226          	3.163           	25.694          	109.200
star_183	0.832           	0.500           	4.500           	0.083           	7.802           	5494.920        	0.832           	77.000          	6.616           	14.549          	10.483          	2.742           	21.165          	109.800
star_184	0.831           	0.000           	4.500           	0.083           	79.848          	5492.160        	0.831           	77.000          	6.200           	13.951          	9.882           	3.738           	20.151          	110.400
star_185	0.830           	0.500           	5.000           	0.083           	47.629          	5489.400        	0.830           	77.000          	8.009           	17.686          	16.228          	3.149           	25.694          	111.000
