//Star_name	data01	data02	data03	data04	data05	data06	data07	data08	data09	data10	
star_73	57.421          	454.427         	0.513           	0.565           	365.000         	0.691           	511.000         	584.000         	657.000         	73.000
star_74	40.993          	321.297         	0.735           	0.567           	370.000         	0.691           	518.000         	592.000         	666.000         	74.000
star_75	61.145          	540.401         	0.578           	0.813           	375.000         	0.691           	525.000         	600.000         	675.000         	75.000
star_76	60.905          	245.304         	0.609           	0.648           	380.000         	0.691           	532.000         	608.000         	684.000         	76.000
star_77	8.175           	107.222         	0.585           	0.787           	385.000         	0.691           	539.000         	616.000         	693.000         	77.000
star_78	13.588          	640.951         	0.546           	0.804           	390.000         	0.691           	546.000         	624.000         	702.000         	78.000
star_79	39.026          	697.601         	0.724           	0.636           	395.000         	0.691           	553.000         	632.000         	711.000         	79.000
star_80	28.933          	535.140         	0.714           	0.745           	400.000         	0.691           	560.000         	640.000         	720.000         	80.000
star_81	10.244          	340.871         	0.776           	0.621           	405.000         	0.691           	567.000         	648.000         	729.000         	81.000
star_82	20.761          	226.846         	0.778           	0.824           	410.000         	0.691           	574.000         	656.000         	738.000         	82.000
star_83	25.522          	355.941         	0.755           	0.738           	415.000         	0.691           	581.000         	664.000         	747.000         	83.000
star_84	75.407          	539.540         	0.822           	0.616           	420.000         	0.691           	588.000         	672.000         	756.000         	84.000
star_85	15.002          	654.792         	0.589           	0.589           	425.000         	0.691           	595.000         	680.000         	765.000         	85.000
star_86	42.253          	699.902         	0.546           	0.626           	430.000         	0.691           	602.000         	688.000         	774.000         	86.000
star_87	47.524          	449.977         	0.711           	0.593           	435.000         	0.691           	609.000         	696.000         	783.000         	87.000
star_88	38.959          	277.582         	0.815           	0.504           	440.000         	0.691           	616.000         	704.000         	792.000         	88.000
star_89	66.449          	763.854         	0.775           	0.748           	445.000         	0.691           	623.000         	712.000         	801.000         	89.000
star_90	48.238          	718.624         	0.615           	0.714           	450.000         	0.691           	630.000         	720.000         	810.000         	90.000
star_91	17.526          	184.538         	0.604           	0.758           	455.000         	0.691           	637.000         	728.000         	819.000         	91.000
star_92	59.541          	119.349         	0.772           	0.763           	460.000         	0.691           	644.000         	736.000         	828.000         	92.000
star_93	82.348          	392.464         	0.614           	0.716           	465.000         	0.691           	651.000         	744.000         	837.000         	93.000
star_94	70.770          	913.191         	0.536           	0.778           	470.000         	0.691           	658.000         	752.000         	846.000         	94.000
star_95	13.110          	100.139         	0.690           	0.601           	475.000         	0.691           	665.000         	760.000         	855.000         	95.000
star_96	79.046          	708.310         	0.501           	0.789           	480.000         	0.691           	672.000         	768.000         	864.000         	96.000
star_97	6.234           	962.359         	0.649           	0.680           	485.000         	0.691           	679.000         	776.000         	873.000         	97.000
star_98	13.790          	116.754         	0.645           	0.772           	490.000         	0.691           	686.000         	784.000         	882.000         	98.000
star_99	2.753           	168.766         	0.826           	0.632           	495.000         	0.691           	693.000         	792.000         	891.000         	99.000
star_100	77.146          	997.978         	0.802           	0.690           	500.000         	0.691           	700.000         	800.000         	900.000         	100.000
star_101	74.374          	525.527         	0.633           	0.561           	505.000         	0.691           	707.000         	808.000         	909.000         	101.000
star_102	53.221          	696.588         	0.592           	0.838           	510.000         	0.691           	714.000         	816.000         	918.000         	102.000
star_103	102.775         	997.186         	0.531           	0.762           	515.000         	0.691           	721.000         	824.000         	927.000         	103.000
star_104	94.110          	217.924         	0.791           	0.785           	520.000         	0.691           	728.000         	832.000         	936.000         	104.000
star_105	54.843          	471.909         	0.792           	0.565           	525.000         	0.691           	735.000         	840.000         	945.000         	105.000
star_106	5.452           	1019.735        	0.593           	0.832           	530.000         	0.691           	742.000         	848.000         	954.000         	106.000
star_107	35.273          	338.504         	0.797           	0.707           	535.000         	0.691           	749.000         	856.000         	963.000         	107.000
star_108	76.431          	357.541         	0.625           	0.733           	540.000         	0.691           	756.000         	864.000         	972.000         	108.000
star_109	5.904           	302.392         	0.579           	0.602           	545.000         	0.691           	763.000         	872.000         	981.000         	109.000
star_110	19.226          	937.496         	0.749           	0.785           	550.000         	0.691           	770.000         	880.000         	990.000         	110.000
star_111	48.739          	264.796         	0.630           	0.822           	555.000         	0.691           	777.000         	888.000         	999.000         	111.000
star_112	88.587          	556.368         	0.796           	0.648           	560.000         	0.691           	784.000         	896.000         	1008.000        	112.000
star_113	55.927          	819.302         	0.827           	0.562           	565.000         	0.691           	791.000         	904.000         	1017.000        	113.000
star_114	60.515          	938.195         	0.525           	0.733           	570.000         	0.691           	798.000         	912.000         	1026.000        	114.000
star_115	34.174          	829.001         	0.825           	0.602           	575.000         	0.691           	805.000         	920.000         	1035.000        	115.000
star_116	77.342          	492.462         	0.623           	0.620           	580.000         	0.691           	812.000         	928.000         	1044.000        	116.000
star_117	54.923          	176.311         	0.772           	0.826           	585.000         	0.691           	819.000         	936.000         	1053.000        	117.000
star_118	45.659          	839.569         	0.747           	0.769           	590.000         	0.691           	826.000         	944.000         	1062.000        	118.000
star_119	76.613          	941.668         	0.816           	0.783           	595.000         	0.691           	833.000         	952.000         	1071.000        	119.000
star_120	6.714           	841.781         	0.595           	0.808           	600.000         	0.691           	840.000         	960.000         	1080.000        	120.000
star_121	36.885          	1041.459        	0.652           	0.727           	605.000         	0.691           	847.000         	968.000         	1089.000        	121.000
star_122	69.332          	365.078         	0.791           	0.536           	610.000         	0.691           	854.000         	976.000         	1098.000        	122.000
star_123	60.293          	652.594         	0.830           	0.598           	615.000         	0.691           	861.000         	984.000         	1107.000        	123.000
star_124	72.984          	682.336         	0.596           	0.705           	620.000         	0.691           	868.000         	992.000         	1116.000        	124.000
star_125	109.799         	265.414         	0.621           	0.691           	625.000         	0.691           	875.000         	1000.000        	1125.000        	125.000
star_126	83.947          	195.450         	0.618           	0.619           	630.000         	0.691           	882.000         	1008.000        	1134.000        	126.000
star_127	77.467          	228.478         	0.508           	0.596           	635.000         	0.691           	889.000         	1016.000        	1143.000        	127.000
star_128	43.792          	178.030         	0.518           	0.750           	640.000         	0.691           	896.000         	1024.000        	1152.000        	128.000
star_129	120.855         	528.733         	0.661           	0.694           	645.000         	0.691           	903.000         	1032.000        	1161.000        	129.000
star_130	17.896          	1222.314        	0.749           	0.585           	650.000         	0.691           	910.000         	1040.000        	1170.000        	130.000
star_131	13.249          	507.444         	0.575           	0.680           	655.000         	0.691           	917.000         	1048.000        	1179.000        	131.000
star_132	41.286          	587.770         	0.734           	0.764           	660.000         	0.691           	924.000         	1056.000        	1188.000        	132.000
star_133	14.536          	705.573         	0.576           	0.795           	665.000         	0.691           	931.000         	1064.000        	1197.000        	133.000
star_134	72.930          	1154.359        	0.516           	0.526           	670.000         	0.691           	938.000         	1072.000        	1206.000        	134.000
star_135	97.411          	1110.347        	0.714           	0.595           	675.000         	0.691           	945.000         	1080.000        	1215.000        	135.000
star_136	107.611         	1297.462        	0.566           	0.505           	680.000         	0.691           	952.000         	1088.000        	1224.000        	136.000
star_137	128.228         	1366.930        	0.738           	0.518           	685.000         	0.691           	959.000         	1096.000        	1233.000        	137.000
star_138	116.438         	1294.269        	0.790           	0.707           	690.000         	0.691           	966.000         	1104.000        	1242.000        	138.000
star_139	123.361         	313.844         	0.561           	0.757           	695.000         	0.691           	973.000         	1112.000        	1251.000        	139.000
star_140	27.077          	768.245         	0.736           	0.705           	700.000         	0.691           	980.000         	1120.000        	1260.000        	140.000
star_141	28.063          	752.411         	0.792           	0.644           	705.000         	0.691           	987.000         	1128.000        	1269.000        	141.000
star_142	76.620          	605.276         	0.766           	0.557           	710.000         	0.691           	994.000         	1136.000        	1278.000        	142.000
star_143	128.541         	951.984         	0.536           	0.676           	715.000         	0.691           	1001.000        	1144.000        	1287.000        	143.000
star_144	30.568          	770.604         	0.540           	0.774           	720.000         	0.691           	1008.000        	1152.000        	1296.000        	144.000
star_145	113.666         	373.265         	0.658           	0.742           	725.000         	0.691           	1015.000        	1160.000        	1305.000        	145.000
star_146	51.227          	427.262         	0.715           	0.715           	730.000         	0.691           	1022.000        	1168.000        	1314.000        	146.000
star_147	66.037          	189.983         	0.746           	0.780           	735.000         	0.691           	1029.000        	1176.000        	1323.000        	147.000
star_148	124.134         	1370.369        	0.542           	0.608           	740.000         	0.691           	1036.000        	1184.000        	1332.000        	148.000
star_149	80.444          	443.187         	0.543           	0.680           	745.000         	0.691           	1043.000        	1192.000        	1341.000        	149.000
star_150	67.814          	396.448         	0.522           	0.562           	750.000         	0.691           	1050.000        	1200.000        	1350.000        	150.000
star_151	29.921          	1266.192        	0.663           	0.714           	755.000         	0.691           	1057.000        	1208.000        	1359.000        	151.000
star_152	122.770         	1416.571        	0.601           	0.540           	760.000         	0.691           	1064.000        	1216.000        	1368.000        	152.000
star_153	137.402         	1034.969        	0.628           	0.634           	765.000         	0.691           	1071.000        	1224.000        	1377.000        	153.000
star_154	80.858          	312.160         	0.835           	0.796           	770.000         	0.691           	1078.000        	1232.000        	1386.000        	154.000
star_155	59.929          	1000.207        	0.787           	0.732           	775.000         	0.691           	1085.000        	1240.000        	1395.000        	155.000
star_156	126.890         	161.004         	0.840           	0.630           	780.000         	0.691           	1092.000        	1248.000        	1404.000        	156.000
star_157	88.589          	1127.533        	0.839           	0.796           	785.000         	0.691           	1099.000        	1256.000        	1413.000        	157.000
star_158	69.157          	1336.456        	0.671           	0.668           	790.000         	0.691           	1106.000        	1264.000        	1422.000        	158.000
star_159	122.145         	879.945         	0.700           	0.722           	795.000         	0.691           	1113.000        	1272.000        	1431.000        	159.000
star_160	73.033          	1088.810        	0.715           	0.748           	800.000         	0.691           	1120.000        	1280.000        	1440.000        	160.000
star_161	107.050         	784.486         	0.684           	0.826           	805.000         	0.691           	1127.000        	1288.000        	1449.000        	161.000
star_162	127.401         	1291.233        	0.826           	0.504           	810.000         	0.691           	1134.000        	1296.000        	1458.000        	162.000
star_163	106.294         	554.098         	0.769           	0.791           	815.000         	0.691           	1141.000        	1304.000        	1467.000        	163.000
star_164	78.298          	1424.342        	0.795           	0.840           	820.000         	0.691           	1148.000        	1312.000        	1476.000        	164.000
star_165	70.296          	448.012         	0.609           	0.657           	825.000         	0.691           	1155.000        	1320.000        	1485.000        	165.000
star_166	38.138          	741.854         	0.545           	0.822           	830.000         	0.691           	1162.000        	1328.000        	1494.000        	166.000
star_167	118.566         	445.149         	0.625           	0.621           	835.000         	0.691           	1169.000        	1336.000        	1503.000        	167.000
star_168	100.949         	1576.034        	0.824           	0.734           	840.000         	0.691           	1176.000        	1344.000        	1512.000        	168.000
star_169	102.401         	646.083         	0.502           	0.795           	845.000         	0.691           	1183.000        	1352.000        	1521.000        	169.000
star_170	107.148         	1093.840        	0.755           	0.832           	850.000         	0.691           	1190.000        	1360.000        	1530.000        	170.000
star_171	27.694          	1218.285        	0.546           	0.666           	855.000         	0.691           	1197.000        	1368.000        	1539.000        	171.000
star_172	151.290         	618.948         	0.803           	0.724           	860.000         	0.691           	1204.000        	1376.000        	1548.000        	172.000
star_173	116.295         	430.124         	0.711           	0.664           	865.000         	0.691           	1211.000        	1384.000        	1557.000        	173.000
star_174	162.777         	1294.363        	0.666           	0.509           	870.000         	0.691           	1218.000        	1392.000        	1566.000        	174.000
star_175	137.764         	1443.654        	0.827           	0.540           	875.000         	0.691           	1225.000        	1400.000        	1575.000        	175.000
star_176	164.115         	1671.025        	0.569           	0.652           	880.000         	0.691           	1232.000        	1408.000        	1584.000        	176.000
star_177	115.176         	1555.693        	0.507           	0.803           	885.000         	0.691           	1239.000        	1416.000        	1593.000        	177.000
star_178	11.731          	560.215         	0.523           	0.700           	890.000         	0.691           	1246.000        	1424.000        	1602.000        	178.000
star_179	69.456          	1725.086        	0.637           	0.557           	895.000         	0.691           	1253.000        	1432.000        	1611.000        	179.000
star_180	138.524         	1640.040        	0.840           	0.667           	900.000         	0.691           	1260.000        	1440.000        	1620.000        	180.000
star_181	53.585          	798.655         	0.752           	0.593           	905.000         	0.691           	1267.000        	1448.000        	1629.000        	181.000
star_182	61.188          	395.445         	0.555           	0.838           	910.000         	0.691           	1274.000        	1456.000        	1638.000        	182.000
star_183	96.690          	1581.018        	0.548           	0.523           	915.000         	0.691           	1281.000        	1464.000        	1647.000        	183.000
star_184	65.967          	883.952         	0.818           	0.804           	920.000         	0.691           	1288.000        	1472.000        	1656.000        	184.000
star_185	79.579          	1681.800        	0.744           	0.509           	925.000         	0.691           	1295.000        	1480.000        	1665.000        	185.000
star_186	48.781          	187.050         	0.650           	0.805           	930.000         	0.691           	1302.000        	1488.000        	1674.000        	186.000
star_187	33.001          	366.833         	0.782           	0.624           	935.000         	0.691           	1309.000        	1496.000        	1683.000        	187.000
star_188	125.826         	1549.610        	0.519           	0.803           	940.000         	0.691           	1316.000        	1504.000        	1692.000        	188.000
star_189	94.216          	1209.125        	0.721           	0.664           	945.000         	0.691           	1323.000        	1512.000        	1701.000        	189.000
star_190	47.078          	623.020         	0.509           	0.565           	950.000         	0.691           	1330.000        	1520.000        	1710.000        	190.000
star_191	28.422          	1096.582        	0.741           	0.625           	955.000         	0.691           	1337.000        	1528.000        	1719.000        	191.000
star_192	146.883         	1123.529        	0.787           	0.596           	960.000         	0.691           	1344.000        	1536.000        	1728.000        	192.000
star_193	187.720         	714.753         	0.614           	0.701           	965.000         	0.691           	1351.000        	1544.000        	1737.000        	193.000
star_194	173.629         	1197.499        	0.764           	0.721           	970.000         	0.691           	1358.000        	1552.000        	1746.000        	194.000
star_195	90.445          	384.579         	0.714           	0.739           	975.000         	0.691           	1365.000        	1560.000        	1755.000        	195.000
star_196	172.531         	1045.927        	0.753           	0.723           	980.000         	0.691           	1372.000        	1568.000        	1764.000        	196.000
star_197	20.699          	886.234         	0.834           	0.786           	985.000         	0.691           	1379.000        	1576.000        	1773.000        	197.000
star_198	197.450         	366.254         	0.786           	0.771           	990.000         	0.691           	1386.000        	1584.000        	1782.000        	198.000
star_199	70.365          	1040.898        	0.514           	0.789           	995.000         	0.691           	1393.000        	1592.000        	1791.000        	199.000
star_200	98.962          	1317.952        	0.717           	0.788           	1000.000        	0.691           	1400.000        	1600.000        	1800.000        	200.000
star_201	101.004         	1744.082        	0.806           	0.507           	1005.000        	0.691           	1407.000        	1608.000        	1809.000        	201.000
star_202	11.741          	1496.906        	0.558           	0.500           	1010.000        	0.691           	1414.000        	1616.000        	1818.000        	202.000
star_203	164.933         	1934.953        	0.780           	0.517           	1015.000        	0.691           	1421.000        	1624.000        	1827.000        	203.000
star_204	188.414         	883.750         	0.533           	0.811           	1020.000        	0.691           	1428.000        	1632.000        	1836.000        	204.000
star_205	84.876          	1462.797        	0.761           	0.695           	1025.000        	0.691           	1435.000        	1640.000        	1845.000        	205.000
star_206	135.049         	1820.714        	0.825           	0.673           	1030.000        	0.691           	1442.000        	1648.000        	1854.000        	206.000
star_207	30.423          	1451.653        	0.717           	0.699           	1035.000        	0.691           	1449.000        	1656.000        	1863.000        	207.000
star_208	45.628          	734.920         	0.605           	0.771           	1040.000        	0.691           	1456.000        	1664.000        	1872.000        	208.000
star_209	63.910          	917.878         	0.796           	0.662           	1045.000        	0.691           	1463.000        	1672.000        	1881.000        	209.000
star_210	110.404         	320.567         	0.683           	0.609           	1050.000        	0.691           	1470.000        	1680.000        	1890.000        	210.000
star_211	172.110         	1211.390        	0.623           	0.713           	1055.000        	0.691           	1477.000        	1688.000        	1899.000        	211.000
star_212	54.533          	1913.692        	0.614           	0.665           	1060.000        	0.691           	1484.000        	1696.000        	1908.000        	212.000
star_213	28.561          	477.332         	0.682           	0.824           	1065.000        	0.691           	1491.000        	1704.000        	1917.000        	213.000
star_214	12.066          	1781.201        	0.829           	0.775           	1070.000        	0.691           	1498.000        	1712.000        	1926.000        	214.000
star_215	114.228         	1053.237        	0.537           	0.687           	1075.000        	0.691           	1505.000        	1720.000        	1935.000        	215.000
star_216	3.301           	1011.662        	0.802           	0.642           	1080.000        	0.691           	1512.000        	1728.000        	1944.000        	216.000
star_217	32.128          	2169.087        	0.524           	0.759           	1085.000        	0.691           	1519.000        	1736.000        	1953.000        	217.000
star_218	159.826         	1139.914        	0.503           	0.677           	1090.000        	0.691           	1526.000        	1744.000        	1962.000        	218.000
star_219	206.244         	343.525         	0.688           	0.758           	1095.000        	0.691           	1533.000        	1752.000        	1971.000        	219.000
star_220	185.352         	1559.808        	0.831           	0.540           	1100.000        	0.691           	1540.000        	1760.000        	1980.000        	220.000
star_221	11.700          	1589.466        	0.776           	0.738           	1105.000        	0.691           	1547.000        	1768.000        	1989.000        	221.000
star_222	92.852          	1419.740        	0.732           	0.698           	1110.000        	0.691           	1554.000        	1776.000        	1998.000        	222.000
star_223	137.888         	1677.887        	0.697           	0.651           	1115.000        	0.691           	1561.000        	1784.000        	2007.000        	223.000
star_224	220.963         	619.635         	0.654           	0.801           	1120.000        	0.691           	1568.000        	1792.000        	2016.000        	224.000
star_225	106.508         	779.275         	0.702           	0.794           	1125.000        	0.691           	1575.000        	1800.000        	2025.000        	225.000
star_226	67.007          	1801.681        	0.679           	0.662           	1130.000        	0.691           	1582.000        	1808.000        	2034.000        	226.000
star_227	6.841           	2130.132        	0.549           	0.651           	1135.000        	0.691           	1589.000        	1816.000        	2043.000        	227.000
star_228	190.790         	1850.332        	0.647           	0.598           	1140.000        	0.691           	1596.000        	1824.000        	2052.000        	228.000
star_229	151.900         	1574.263        	0.711           	0.720           	1145.000        	0.691           	1603.000        	1832.000        	2061.000        	229.000
star_230	30.276          	1208.870        	0.655           	0.725           	1150.000        	0.691           	1610.000        	1840.000        	2070.000        	230.000
star_231	126.677         	408.612         	0.707           	0.824           	1155.000        	0.691           	1617.000        	1848.000        	2079.000        	231.000
star_232	166.985         	1591.613        	0.810           	0.570           	1160.000        	0.691           	1624.000        	1856.000        	2088.000        	232.000
star_233	41.196          	982.498         	0.688           	0.686           	1165.000        	0.691           	1631.000        	1864.000        	2097.000        	233.000
star_234	155.307         	1716.594        	0.798           	0.838           	1170.000        	0.691           	1638.000        	1872.000        	2106.000        	234.000
star_235	38.746          	1073.069        	0.686           	0.815           	1175.000        	0.691           	1645.000        	1880.000        	2115.000        	235.000
star_236	20.015          	1553.812        	0.623           	0.588           	1180.000        	0.691           	1652.000        	1888.000        	2124.000        	236.000
star_237	178.876         	1185.717        	0.727           	0.551           	1185.000        	0.691           	1659.000        	1896.000        	2133.000        	237.000
star_238	3.067           	2234.739        	0.777           	0.596           	1190.000        	0.691           	1666.000        	1904.000        	2142.000        	238.000
star_239	199.429         	738.136         	0.759           	0.829           	1195.000        	0.691           	1673.000        	1912.000        	2151.000        	239.000
star_240	86.296          	1083.944        	0.593           	0.695           	1200.000        	0.691           	1680.000        	1920.000        	2160.000        	240.000
star_241	40.283          	1878.121        	0.814           	0.771           	1205.000        	0.691           	1687.000        	1928.000        	2169.000        	241.000
star_242	196.611         	2034.713        	0.839           	0.725           	1210.000        	0.691           	1694.000        	1936.000        	2178.000        	242.000
star_243	131.980         	2294.182        	0.834           	0.701           	1215.000        	0.691           	1701.000        	1944.000        	2187.000        	243.000
star_244	95.506          	2070.590        	0.826           	0.532           	1220.000        	0.691           	1708.000        	1952.000        	2196.000        	244.000
star_245	16.449          	700.415         	0.832           	0.504           	1225.000        	0.691           	1715.000        	1960.000        	2205.000        	245.000
star_246	204.547         	1405.351        	0.724           	0.579           	1230.000        	0.691           	1722.000        	1968.000        	2214.000        	246.000
star_247	187.252         	1886.222        	0.554           	0.717           	1235.000        	0.691           	1729.000        	1976.000        	2223.000        	247.000
star_248	196.666         	1804.490        	0.708           	0.529           	1240.000        	0.691           	1736.000        	1984.000        	2232.000        	248.000
star_249	10.472          	549.253         	0.542           	0.738           	1245.000        	0.691           	1743.000        	1992.000        	2241.000        	249.000
star_250	43.667          	1450.397        	0.543           	0.740           	1250.000        	0.691           	1750.000        	2000.000        	2250.000        	250.000
star_251	95.848          	1098.317        	0.796           	0.835           	1255.000        	0.691           	1757.000        	2008.000        	2259.000        	251.000
star_252	201.394         	252.232         	0.549           	0.703           	1260.000        	0.691           	1764.000        	2016.000        	2268.000        	252.000
